,Day : 40 - 50
Revenue,"5,041,262"
Retail View,"800,974"
Wholesales (B2B),"3,869,692"
Sales E Commerce,"88,596"
Services,"282,000"
Research and Development,0
COGS,"3,957,202"
Trading Profit,"1,084,060"
Operating Expense View,"1,127,000"
Other Income (Loss),0
Net Profit,"-42,940"
