,Day : 40 - 50
Salary Expense,"262,966"
Rental Expense,"142,000"
Marketing Expense,"7,400"
Overflow Expense - Retail,"78,340"
Overflow Expense - Warehouse,294
Penalty Expense,"38,200"
Shipping Expense,"1,800"
Maintenance Expense,"270,000"
Human Resource Expense,"126,000"
Interest Expense,0
Research Expense,0
Development Expense,0
Depreciation Expense,"200,000"
Employee Income Tax Expense,0
Other Expense,0
