"Category","Overheads"
"Salary Expense",29.43
"Interest Expense ",0.02
"Marketing Expense",0.41
"Rental Expense",14.25
"Overflow Expense - Retail",2.06
"Overflow Expense - Warehouse",0.06
"Penalty Expense",2.16
"Depreciation Expense",15.54
"Maintenance Expense",16.58
"Shipping Expense",1.79
"Human Resource Expense",17.48
"Other Expense",0.21
